7zip 25.01-1
poppler-data 0.4.12-2
poppler-glib 25.09.1-1
poppler-qt6 25.09.1-1
popt 1.19-2
portaudio 1:19.7.0-3
potrace 1.16-4
pps-tools 1.0.3-2
prison 6.18.0-1
procps-ng 4.0.5-3
proton-vpn-gtk-app 4.9.7-1
psmisc 23.7-1
pugixml 1.15-2
pulse-native-provider 1:1.4.8-2
pyenv 1:2.6.8-1
python 3.13.7-1
python-aiohappyeyeballs 2.6.1-1
python-aiohttp 3.12.15-1
python-aiosignal 1.4.0-1
python-appdirs 1.4.4-11
python-argcomplete 3.6.2-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-bcrypt 4.3.0-1
python-beautifulsoup4 4.13.5-1
python-cachecontrol 1:0.14.3-1
python-cairo 1.28.0-1
python-capng 0.8.5-3
python-certifi 2025.08.03-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.3-1
python-click 8.2.1-1
python-configobj 5.0.9-5
python-contourpy 1.3.3-1
python-coverage 7.10.7-1
python-cryptography 46.0.1-1
python-cssselect 1.2.0-8
python-cycler 0.12.1-3
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-distro 1.9.0-3
python-dulwich 0.24.1-1
python-fastbencode 0.3.6-1
python-filelock 3.19.1-1
python-fonttools 4.60.0-1
python-frozenlist 1.7.0-1
python-gnupg 0.5.5-1
python-gobject 3.54.3-1
python-greenlet 3.2.4-1
python-idna 3.10-2
python-importlib-metadata 8.7.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-jinja 1:3.1.6-1
python-keyring 25.6.0-1
python-kiwisolver 1.4.7-1
python-lockfile 0.12.2-14
python-lxml 6.0.2-1
python-mako 1.3.10-1
python-markdown 3.9.0-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.6-1
python-merge3 0.0.15-2
python-more-itertools 10.8.0-1
python-msgpack 1.0.5-3
python-multidict 6.6.4-1
python-numpy 2.3.3-1
python-packaging 25.0-1
python-pandas 2.3.1-1
python-patiencediff 0.2.15-2
python-pillow 11.3.0-4
python-pip 25.2-1
python-pipx 1.7.1-2
python-platformdirs 4.4.0-1
python-propcache 0.3.2-1
python-proton-core 0.4.0-4
python-proton-keyring-linux 0.2.0-5
python-proton-vpn-api-core 0.42.5-1
python-proton-vpn-local-agent 1.4.5-1
python-proton-vpn-network-manager 0.12.14-1
python-psutil 7.1.0-1
python-pycparser 2.23-1
python-pynacl 1.6.0-1
python-pynvim 0.6.0-1
python-pyopenssl 25.3.0-1
python-pyparsing 3.2.5-1
python-pyserial 3.5-7
python-pytz 2025.2-1
python-pywal16 1:3.8.9-1
python-pywalfox 2.7.4-1
python-pyxdg 0.28-4
python-requests 2.32.5-1
python-secretstorage 3.3.3-6
python-sentry_sdk 2.39.0-1
python-setuptools 1:80.9.0-2
python-six 1.17.0-1
python-soupsieve 2.8-1
python-tinycss2 1.4.0-2
python-toml 0.10.2-12
python-tqdm 4.67.1-2
python-typing_extensions 4.15.0-1
python-urllib3 2.5.0-1
python-userpath 1.9.2-3
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-yaml 6.0.3-1
python-yarl 1.21.1-1
python-zipp 3.21.0-2
python-zstandard 0.25.0-1
qca-qt5 2.3.10-3
qca-qt6 2.3.10-3
qemu-base 10.1.0-1
qemu-common 10.1.0-1
qemu-img 10.1.0-1
qemu-system-x86 10.1.0-1
qemu-system-x86-firmware 10.1.0-1
qhull 2020.2-5
qqc2-breeze-style 6.4.5-1
qqc2-desktop-style 6.18.0-1
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-2
qt5-declarative 5.15.17+kde+r21-1
qt5-multimedia 5.15.17+kde+r2-1
qt5-speech 5.15.17+kde+r1-1
qt5-svg 5.15.17+kde+r5-1
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt5ct 1.9-1
qt6-5compat 6.9.2-1
qt6-base 6.9.2-1
qt6-charts 6.9.2-1
qt6-declarative 6.9.2-1
qt6-imageformats 6.9.2-1
qt6-location 6.9.2-1
qt6-multimedia 6.9.2-3
qt6-multimedia-ffmpeg 6.9.2-3
qt6-positioning 6.9.2-1
qt6-sensors 6.9.2-1
qt6-shadertools 6.9.2-1
qt6-speech 6.9.2-1
qt6-svg 6.9.2-1
qt6-tools 6.9.2-1
qt6-translations 6.9.2-1
qt6-virtualkeyboard 6.9.2-1
qt6-wayland 6.9.2-1
qt6ct 0.11-1
quazip-qt6 1.5-1
ragel 6.10-4
raptor 2.0.16-8
rav1e 0.7.1-1
rdma-core 59.0-1
re2 1:20240702-7
readline 8.3.001-1
rhash 1.4.4-1
ripgrep 14.1.1-1
ripgrep-all 0.10.9-1
rpmextract 1.0-11
rsync 3.4.1-2
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 4.0.0-1
rust 1:1.90.0-3
sassc 3.6.2-5
sbc 2.1-1
scdoc 1.11.3-1
scour 0.38.2-5
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sdl2-compat 2.32.56-2
sdl3 3.2.22-1
seabios 1.17.0-1
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
sequoia-sqv 1.3.0-1
serd 0.32.4-1
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:4.0.3-1
slang 2.3.3-4
sleuthkit 4.14.0-1
slurp 1.5.0-1
smbclient 2:4.23.1-1
snappy 1.2.2-2
sndio 1.10.0-1
solid 6.18.0-1
solid5 5.116.0-1
sonnet 6.18.0-1
sonnet5 5.116.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-6
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spice-protocol-git 0.14.5-1
spirv-tools 1:1.4.321.0-1
spotify-launcher 0.6.3-2
sqlite 3.50.4-2
squashfs-tools 4.7.2-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-9
strace 6.16-1
sudo 1.9.17.p1-1
suitesparse 7.11.0-1
supermin 5.3.5-1
svt-av1 3.1.2-1
svt-hevc 1.5.1-3
sway 1:1.11-1
swaync 0.12.2-1
swww 0.11.2-1
syndication 6.18.0-1
syntax-highlighting 6.18.0-1
sysfsutils 2.1.1-2
syslinux 6.04.pre3.r3.g05ac953c-4
systemd 258-4
systemd-libs 258-4
systemd-sysvcompat 258-4
systemsettings 6.4.5-1
taglib 2.1.1-1
tailscale 1.88.3-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.14-1
tesseract 5.5.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.17.1-1
texinfo 7.2-1
thin-provisioning-tools 1.2.1-1
thunderbird 143.0.1-1
tinysparql 3.10.0-1
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-2
tpm2-tss 4.1.3-1
trash-cli 0.24.5.26-2
tree-sitter 0.25.10-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.1-1
tree-sitter-query 0.7.0-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-arimo-nerd 3.4.0-1
ttf-cascadia-code-nerd 3.4.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-hack 3.003-7
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-meslo-nerd-font-powerlevel10k 2.3.3-1.1
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.2-1
unibilium 2.1.2-1
unrar 1:7.1.10-1
unzip 6.0-23
upower 1.90.10-1
uriparser 0.9.9-1
usbutils 018-1
util-linux 2.41.2-1
util-linux-libs 2.41.2-1
v4l-utils 1.30.1-1
vapoursynth 72-1
vde2 2.3.3-8
vid.stab 1.1.1-2
vim 9.1.1734-1
vim-gtk-vim-syntax 20130716-1
vim-runtime 9.1.1734-1
virtiofsd 1.13.2-1
visual-studio-code-bin 1.104.2-1
vmaf 3.0.0-1
volume_key 0.3.12-11
vte-common 0.82.0-2
vte3 0.82.0-2
vulkan-icd-loader 1.4.321.0-1
wavpack 5.8.1-1
waybar 0.14.0-1
wayland 1.24.0-1
wayland-protocols 1.45-1
webkit2gtk 2.50.0-1
webkitgtk-6.0 2.50.0-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
wget 1.25.0-2
whatsapp-for-linux 1.7.0-1.3
whatsapp-for-linux-debug 1.7.0-1
which 2.23-1
wildmidi 0.4.6-1
wireplumber 0.5.11-1
wl-clipboard 1:2.2.1-3
wlroots0.19 0.19.1-2
woff2 1.0.2-6
wofi 1.5.1-1
wolfssl 5.8.2-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xclip 0.13-6
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gnome 49.0-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.10-1
xdg-desktop-portal-kde 6.4.5-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xdotool 3.20211022.1-2
xf86-input-libinput 1.5.0-1
xf86-video-vesa 2.6.0-2
xfconf 4.20.0-2
xfsprogs 6.16.0-3
xkeyboard-config 2.45-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-devel 21.1.18-2
xorg-server-xephyr 21.1.18-2
xorg-server-xnest 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmessage 1.0.7-1
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.8-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xrdp-debug 0.10.4.1-1
xvidcore 1.3.7-3
xwaylandvideobridge-git 0.4.0_r257.gb7d6dd1-1
xwaylandvideobridge-git-debug 0.4.0_r257.gb7d6dd1-1
xxhash 0.8.3-1
xz 5.8.1-1
yara 4.5.4-1
yasm 1.3.0-8
yay 12.5.2-2
yay-debug 12.5.0-1
yyjson 0.12.0-1
zathura 0.5.13-1
zathura-pdf-mupdf 0.4.4-24
zbar 0.23.93-4
zenity 4.2.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zotero 7.0.25-1
zotero-debug 7.0.19-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4313.36f3045d-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
